userid,movieid,rating,timestamp
1,258,5.0,Mon Dec 03 19:38:06 EST 2018
2,4081,4.0,Mon Dec 03 19:38:06 EST 2018
2,260,5.0,Mon Dec 03 19:38:06 EST 2018
2,9296,5.0,Mon Dec 03 19:38:06 EST 2018
2,2318,3.0,Mon Dec 03 19:38:06 EST 2018
2,26,4.0,Mon Dec 03 19:38:06 EST 2018
2,315,3.0,Mon Dec 03 19:38:06 EST 2018
2,33,4.0,Mon Dec 03 19:38:06 EST 2018
2,301,5.0,Mon Dec 03 19:38:06 EST 2018
2,2686,5.0,Mon Dec 03 19:38:06 EST 2018
2,3753,5.0,Mon Dec 03 19:38:06 EST 2018
2,8519,5.0,Mon Dec 03 19:38:06 EST 2018
4,70,4.0,Mon Dec 03 19:38:06 EST 2018
4,264,3.0,Mon Dec 03 19:38:06 EST 2018
4,388,4.0,Mon Dec 03 19:38:06 EST 2018
4,18,5.0,Mon Dec 03 19:38:06 EST 2018
4,27,5.0,Mon Dec 03 19:38:06 EST 2018
4,21,5.0,Mon Dec 03 19:38:06 EST 2018
4,2,5.0,Mon Dec 03 19:38:06 EST 2018
4,23,5.0,Mon Dec 03 19:38:06 EST 2018
4,24,5.0,Mon Dec 03 19:38:06 EST 2018
4,964,4.0,Mon Dec 03 19:38:06 EST 2018
4,103,5.0,Mon Dec 03 19:38:06 EST 2018
4,255,2.0,Mon Dec 03 19:38:06 EST 2018
4,35,5.0,Mon Dec 03 19:38:06 EST 2018
4,287,3.0,Mon Dec 03 19:38:06 EST 2018
4,337,4.0,Mon Dec 03 19:38:06 EST 2018
4,26,3.0,Mon Dec 03 19:38:06 EST 2018
4,84,4.0,Mon Dec 03 19:38:06 EST 2018
4,58,4.0,Mon Dec 03 19:38:06 EST 2018
4,1117,3.0,Mon Dec 03 19:38:06 EST 2018
4,660,3.0,Mon Dec 03 19:38:06 EST 2018
4,111,2.0,Mon Dec 03 19:38:06 EST 2018
4,5,4.0,Mon Dec 03 19:38:06 EST 2018
4,413,4.0,Mon Dec 03 19:38:06 EST 2018
4,8,4.0,Mon Dec 03 19:38:06 EST 2018
4,2172,4.0,Mon Dec 03 19:38:06 EST 2018
4,65,4.0,Mon Dec 03 19:38:06 EST 2018
4,297,4.0,Mon Dec 03 19:38:06 EST 2018
4,45,4.0,Mon Dec 03 19:38:06 EST 2018
4,113,4.0,Mon Dec 03 19:38:06 EST 2018
4,325,5.0,Mon Dec 03 19:38:06 EST 2018
4,476,3.0,Mon Dec 03 19:38:06 EST 2018
6,6351,4.0,Mon Dec 03 19:38:06 EST 2018
8,2732,5.0,Mon Dec 03 19:38:06 EST 2018
8,1432,3.0,Mon Dec 03 19:38:06 EST 2018
8,479,4.0,Mon Dec 03 19:38:06 EST 2018
8,3020,5.0,Mon Dec 03 19:38:06 EST 2018
8,6195,4.0,Mon Dec 03 19:38:06 EST 2018
8,614,4.0,Mon Dec 03 19:38:06 EST 2018
8,4622,5.0,Mon Dec 03 19:38:06 EST 2018
8,9114,5.0,Mon Dec 03 19:38:06 EST 2018
8,194,4.0,Mon Dec 03 19:38:06 EST 2018
8,14,5.0,Mon Dec 03 19:38:06 EST 2018
8,2584,5.0,Mon Dec 03 19:38:06 EST 2018
8,55,5.0,Mon Dec 03 19:38:06 EST 2018
8,772,4.0,Mon Dec 03 19:38:06 EST 2018
8,778,5.0,Mon Dec 03 19:38:06 EST 2018
8,1937,3.0,Mon Dec 03 19:38:06 EST 2018
8,493,5.0,Mon Dec 03 19:38:06 EST 2018
8,362,5.0,Mon Dec 03 19:38:06 EST 2018
8,1967,3.0,Mon Dec 03 19:38:06 EST 2018
8,529,5.0,Mon Dec 03 19:38:06 EST 2018
8,5425,5.0,Mon Dec 03 19:38:06 EST 2018
4,1237,5.0,Mon Dec 03 19:38:06 EST 2018
4,145,2.0,Mon Dec 03 19:38:06 EST 2018
4,36,5.0,Mon Dec 03 19:38:06 EST 2018
4,102,5.0,Mon Dec 03 19:38:06 EST 2018
4,222,4.0,Mon Dec 03 19:38:06 EST 2018
4,200,4.0,Mon Dec 03 19:38:06 EST 2018
4,13,4.0,Mon Dec 03 19:38:06 EST 2018
4,640,3.0,Mon Dec 03 19:38:06 EST 2018
4,693,5.0,Mon Dec 03 19:38:06 EST 2018
4,575,3.0,Mon Dec 03 19:38:06 EST 2018
4,55,4.0,Mon Dec 03 19:38:06 EST 2018
1,268,3.0,Mon Dec 03 19:38:06 EST 2018
1,5556,3.0,Mon Dec 03 19:38:06 EST 2018
1,3638,3.0,Mon Dec 03 19:38:06 EST 2018
1,1796,5.0,Mon Dec 03 19:38:06 EST 2018
1,867,3.0,Mon Dec 03 19:38:06 EST 2018
1,47,3.0,Mon Dec 03 19:38:06 EST 2018
1,2738,3.0,Mon Dec 03 19:38:06 EST 2018
4,1296,3.0,Mon Dec 03 19:38:06 EST 2018
4,50,4.0,Mon Dec 03 19:38:06 EST 2018
4,87,5.0,Mon Dec 03 19:38:06 EST 2018
4,86,4.0,Mon Dec 03 19:38:06 EST 2018
4,123,4.0,Mon Dec 03 19:38:06 EST 2018
4,32,4.0,Mon Dec 03 19:38:06 EST 2018
4,28,3.0,Mon Dec 03 19:38:06 EST 2018
4,33,3.0,Mon Dec 03 19:38:06 EST 2018
4,42,5.0,Mon Dec 03 19:38:06 EST 2018
4,249,4.0,Mon Dec 03 19:38:06 EST 2018
4,158,4.0,Mon Dec 03 19:38:06 EST 2018
4,373,4.0,Mon Dec 03 19:38:06 EST 2018
4,184,4.0,Mon Dec 03 19:38:06 EST 2018
4,495,4.0,Mon Dec 03 19:38:06 EST 2018
4,350,3.0,Mon Dec 03 19:38:06 EST 2018
4,492,4.0,Mon Dec 03 19:38:06 EST 2018
4,219,4.0,Mon Dec 03 19:38:06 EST 2018
